,sentence1,sentence2,score
232,عنایات حق,از كه بگريزيم از خود اى محال‏  از كه برباييم از حق اى وبال‏,3
233,کریم بودن خداوند,"پس خداوند پرى و آدمى‏		از پرى كى باشدش آخر كمى‏
",1
234,ادب,وز قران خرمى با جان ما  مى‏بزايد خوبى و احسان ما,4
235,گفت با او مشورت كن و انچه گفت‏  تو خلاف آن كن و در راه افت‏,مشورت را زنده‏اى بايد نكو  كه ترا زنده كند و آن زنده كو,4
236,ابلیس,گفت ابليس لعين دادار را  دام زفتى خواهم اين اشكار را,4.5
237,دیوانگی,دور از عقل تو اين ديگر مگو  گفت در من كرد يك ديوانه رو,3
238,تقلید,آن مريد ساده از تقليد نيز  گريه‏اى مى‏كرد وفق آن عزيز,3.5
239,ادب,نَحْنُ قَسَمْنا,0
240,نفى ضد هست باشد بى‏شكى‏  تا ز ضد ضد را بدانى اندكى‏,در عدم هستى برادر چون بود  ضد اندر ضد چون مكنون بود,4
241,عشق,چون قلم اندر نوشتن می شتافت   چون به عشق آمد قلم بر خود شکافت,5
242,خیال و وهم و گمان ,می رسید از دور مانند هلال  نیست بود و هست بر شکل خیال,5
243,عشق مجازی و حقیقی,عامل عشق است معزولش مكن‏  جز به عشق خويش مشغولش مكن‏,3
244,هستی و خداوند,وَ ما رَمَيْتَ إِذْ رَمَيْتَ وَ لكِنَّ اللَّهَ رَمى‏,3
245,عقل ,عقل كان باشد ز دوران زحل‏  پيش عقل كل ندارد آن محل‏,4.5
246,از محقق تا مقلد فرق‏هاست‏  كاين چو داود است و آن ديگر صداست‏,پيش زيرك كاندرونش نورهاست‏  عين اين آواز معنى بود راست‏,4
247,عشق,عشق معشوقان دو رخ افروخته‏  عشق عاشق جان او را سوخته‏,5
248,سرپوشی  رازداری,راز را اندر ميان آور شها  رو مكن در ابر پنهانى مها,4
249,آتشی افتاد در عهد عمر  همچو چوب خشک میخورد او حجر,چون كه در عهد خدا كردى وفا  از كرم عهدت نگه دارد خدا,3
250,اين چنين سوزان و گرم آخر مكار  مشورت كن با يكى خاوند گار,گفت آن ماهى زيرك ره كنم‏  دل ز راى و مشورتشان بر كنم‏,4
251,دوست نمای فرعی,در حقيقت دوستانت دشمنند  كه ز حضرت دور و مشغولت كنند,3
252,جوشش خون,حلق ببريده جهد از جاى خويش‏  خون خود جويد ز خون پالاى خويش‏,4
253,ظلم,بد گمانى كردن و حرص آورى‏  كفر باشد پيش خوان مهترى‏,3
254,ضرورت پیروی از پیر,تا به پشت همدگر بر صيدها  سخت بر بندند بار قيدها,2
255,وهم و خیال,بر خيال و خواب چندين ره كنى‏  نيست عقلت را تسويى روشنى‏,4
256,سجده (سجود),چون خطائين آن حساب با صفا  گرددش روشن ز بعد دو خطا,2.5
257,سجده (سجود),گر نماز و روزه مى‏فرمايدت‏  نفس مكار است مكرى زايدت‏,2.5
258,از خدا یابی جزاها ای شریف  قوت شکرت ندارد این ضعیف,تو قياس از حالت انسان مكن‏  منزل اندر جور و در احسان مكن‏,1.5
259,عاقبت بینی,وَ لَكُمْ فِي الْقِصاصِ حَياةٌ,1
260,هوشیاری,آن كه او باشد مراقب عقل بود  عقل را سوداى ليلى در ربود,4
261,تزکیۀ نفس، کشتن نفس,مردن تن در رياضت زندگى است‏  رنج اين تن روح را پايندگى است‏,4
262,خداشناسی ,"حادثات اغلب به شب واقع شود		و آن زمان معبود تو غايب بود
",1
263,خواب در بنهاده اى بيداريى‏  بسته‏اى در بى‏دلى دل داريى‏,اين جهان خواب است اندر ظن مه‏ايست‏  گر رود در خواب دستى باك نيست‏,4
264,هوش جزوی و کلی,هش چه باشد عقل كل هوشمند  هوش جزوى هش بود اما نژند,4
265,اين نوى را كهنگى ضدش بود  آن نوى بى‏ضد و بى‏ند و عدد,كه من اين را بس شنيدم كهنه شد  چيز ديگر گو بجز آن اى عضد,3
266,معرفت,علم چون بر دل زند يارى شود  علم چون بر تن زند بارى شود,3
267,عاقبت بینی,اين دهان بر بند تا بينى عيان‏  چشم بند آن جهان حلق و دهان‏,4
268,ویرانی  آبادانی,رونق كار خسان كاسد شود  همچو ميوه‏ى تازه زو فاسد شود,2
269,مرگ,بهر روز مرگ اين دم مرده باش‏  تا شوى با عشق سرمد خواجه‏تاش‏,4.5
270,بى‏سبب گر عز به ما موصول نيست  قدرت از عزل سبب معزول نيست,"بس سؤال و بس جواب و ماجرا		بد ميان زاهد و رب الورى‏
",0.5
271,هم‌چنین دان جمله احوال جهان  قحط و جدب و صلح و جنگ از افتتان,"از وباى زرق و محرومى بر آ		در جهان حى و قيومى در آ
",1
272,تزکیۀ نفس، کشتن نفس,سر بريدن چيست كشتن نفس را  در جهاد و ترك گفتن نفس را,4.5
273,پیوند عشق و بقا ,"عشق زنده در روان و در بصر		هر دمى باشد ز غنچه تازه‏تر
",3
274,توکل,چون كه ايمان برده باشى زنده‏اى‏  چون كه با ايمان روى پاينده‏اى‏,2
275,جوشش خون,اى بسا خامى كه ظاهر خونش ريخت‏  ليك نفس زنده آن جانب گريخت‏,3
276,جوشش خون,جوشش خون باشد آن واجستها  خارش دلها و بحث و ماجرا,3
277,سجده آمد كندن خشت لزب‏  موجب قربى كه‏ وَ اسْجُدْ وَ اقْتَرِبْ‏,آن خدو زد بر رخى كه روى ماه‏  سجده آرد پيش او در سجده‏گاه‏,4
278,سرپوشی  رازداری,پندها دادم كه پنهان دار دين‏  سر بپوشان از جهودان لعين‏,4
279,چون به صورت بنگری چشم تو دوست  تو به نورش در نگر کز چشم رست,"هست قوت ما دروغ و لاف و لاغ‏		شورش معده است ما را زين بلاغ‏
",1.5
280,سرپوشی  رازداری,ديده‏ها بسته ببيند دوست را  چون مشبك كرده باشد پوست را,3
281,از قصور چشم باشد آن عثار  كه نبيند شيب و بالا كوروار,هين گلوى خود مبر هان اى مهان‏  اين چنين لقمه رسيده تا دهان‏,3.5
282,ضرورت پیروی از پیر و اولیا,كه چنين پيران با شيب و وقار  مى‏كندشان اين پيمبر شرمسار,3
283,نتیجۀ صبر,ترک شهوتها و لذتها سخاست  هرکه در شهوت رو شد برنخاست,5
284,چشم بر اسباب از چه دوختيم‏  گر ز خوش چشمان كرشم آموختيم‏,"گفت نان و زاد و لوت دوش من‏		مى‏كشانم بهر تقويت بدن‏
",2
285,خواب,خواب عام است اين و خود خواب خواص‏  باشد اصل اجتبا و اختصاص‏,4
286,خوف و رجا,امن ديدى گشته در خوفى خفى‏  خوف بين هم در اميدى اى صفى‏,4
287,تزکیۀ نفس، کشتن نفس,گر بخواهد مرگ هم شيرين شود  خار و نشتر نرگس و نسرين شود,3
288,گر نداری تو دم خوش در دعا  رو دعا می خواه ز اخوان صفا,روز و شب اندر دعايند و ثنا  لابه‏گويان كه تومان ده اى خدا,4
289,مشورت  مصاحبت و همنشینی,مشورت با نفس خويش اندر فعال‏  هر چه گويد عكس آن باشد كمال‏,4
290,عشق مجازی و حقیقی,عام مى‏خوانند هر دم نام پاك‏  اين عمل نكند چو نبود عشقناك‏,2.5
291,مفهوم درد,ای خجسته رنج و بیماری و تب  ای مبارک درد و بیداری شب,5
292,کریم بودن خداوند,خلعت هستی بدادی رایگان  من همیشه معتمد بودم بر آن,5
293,پس یقین در عقل هر داننده هست  اینک با جنبنده جنباننده هست,"بعد از آن گفتند كاى خرگوش چست‏		در ميان آر آن چه در ادراك تست‏
",0
294,هوش جزوی و کلی,هوش تو بى‏مى چنين پژمرده است‏  هوشها بايد بر آن هوش تو بست‏,3
295,تاویل,کرده ای تاویل حرف بکر را  خویش را تاویل کن نه ذکر را,5
296,عشق,عشق آن شعله‌ست کو چون بر فروخت  هرچه جز معشوق باقی جمله سوخت,5
297,غربت,آدمى را عجز و فقر آمد امان‏  از بلاى نفس پر حرص و غمان‏,0
298,خون نخسپد، درفتد در هر دلی  میلِ جست و جوی و کشف مشکلی,كشته‏اى و خونشان در گردنت‏  تا چه آيد بر تو زين خون خوردنت‏,3.5
299,نتیجۀ صبر,اى كه صبرت نيست از پاك و پليد  صبر چون دارى از آن كاين آفريد,3
300,وهم و فهم ,عالم وهم و خيال چشم بند  آن چنان كه را ز جاى خويش كند,4
301,خیال و وهم و گمان ,حسها و انديشه بر آب صفا  همچو خس بگرفته روى آب را,3.5
302,که ببینم رزق می‌آید به من  تا قوی گردد مرا در رزق ظن,"رزق حق حكمت بود در مرتبت‏		كان گلو گيرت نباشد عاقبت‏
",2
303,چون انیس طمع تو آن نیستیست  از فنا و نیست این پرهیز چیست," ائْتِيا طَوْعاً أَوْ كَرْهاً
",0
304,هوشیاری,بهر گوشى مى‏زنى دف گوش كو  هوش بايد تا بداند هوش كو,4
